               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038073,            0.037233,           0.0059483,             0.66176,             0.63727,             0.62211,             0.24001,            0.051029,            0.027734,            0.021996,           0.0082675,           0.0082675,           0.0082675
                  37,            0.038057,            0.034881,           0.0056927,             0.66517,             0.62073,              0.5889,             0.24177,            0.051742,            0.029952,               0.021,            0.008218,            0.008218,            0.008218
                  38,            0.038688,            0.033727,           0.0061954,             0.60655,             0.63135,             0.56855,             0.22028,            0.051892,            0.029333,            0.022961,           0.0081685,           0.0081685,           0.0081685
                  39,             0.03899,            0.033661,            0.006445,             0.60573,             0.63055,             0.59367,             0.24636,            0.050551,            0.028701,            0.020081,            0.008119,            0.008119,            0.008119
                  40,             0.03832,            0.035139,           0.0061245,             0.63879,             0.61811,             0.57737,             0.24462,            0.051532,            0.027322,            0.022366,           0.0080695,           0.0080695,           0.0080695
                  41,            0.037667,             0.03494,           0.0059212,              0.5978,             0.66178,              0.6036,              0.2456,            0.050213,            0.027128,            0.018806,             0.00802,             0.00802,             0.00802
                  42,            0.037301,            0.033625,           0.0054841,             0.65136,             0.63295,             0.60416,             0.25881,            0.050093,            0.027825,             0.01997,           0.0079705,           0.0079705,           0.0079705
                  43,            0.037906,            0.035353,            0.005443,             0.65618,             0.63794,             0.60539,             0.24941,            0.050438,            0.028921,            0.021957,            0.007921,            0.007921,            0.007921
                  44,            0.037683,            0.034951,           0.0059131,             0.65584,             0.65214,             0.62929,             0.24848,            0.051331,            0.027122,            0.018959,           0.0078715,           0.0078715,           0.0078715
                  45,            0.036758,            0.034374,           0.0062403,             0.64541,             0.64092,             0.63054,             0.25537,            0.050709,            0.028095,            0.021091,            0.007822,            0.007822,            0.007822
                  46,            0.036961,            0.034823,           0.0055264,             0.67868,             0.61645,             0.62686,             0.26256,            0.051646,            0.029604,            0.020416,           0.0077725,           0.0077725,           0.0077725
                  47,            0.037815,            0.034669,            0.005796,             0.68552,             0.65039,             0.62766,             0.26197,             0.04991,            0.027754,            0.020294,            0.007723,            0.007723,            0.007723
                  48,            0.036424,            0.033684,           0.0055215,             0.70916,             0.61814,             0.61334,             0.25071,            0.050177,            0.029107,            0.021427,           0.0076735,           0.0076735,           0.0076735
                  49,            0.036152,            0.033727,           0.0055724,              0.7137,             0.63909,             0.63653,             0.25603,            0.050439,            0.028766,            0.021305,            0.007624,            0.007624,            0.007624
                  50,            0.037574,            0.034966,           0.0057672,             0.72067,             0.61922,             0.62784,             0.25533,            0.050646,            0.028792,            0.020433,           0.0075745,           0.0075745,           0.0075745
                  51,            0.035479,            0.033152,            0.005289,             0.65409,             0.62174,             0.59092,             0.23736,            0.050282,            0.028547,            0.019455,            0.007525,            0.007525,            0.007525
                  52,            0.036575,            0.032887,           0.0051591,             0.63422,             0.63457,             0.60186,             0.24422,            0.049839,             0.02836,            0.019493,           0.0074755,           0.0074755,           0.0074755
                  53,            0.035925,             0.03389,           0.0051073,             0.63815,             0.64038,             0.61771,             0.25222,            0.049155,            0.028186,            0.018661,            0.007426,            0.007426,            0.007426
                  54,            0.035993,            0.033998,           0.0052956,             0.60998,             0.68153,              0.6185,             0.27312,            0.048808,            0.028804,            0.018272,           0.0073765,           0.0073765,           0.0073765
                  55,             0.03713,            0.035104,           0.0053624,             0.64194,             0.59629,             0.56976,             0.24706,            0.049643,            0.028508,            0.020145,            0.007327,            0.007327,            0.007327
                  56,            0.035554,            0.032331,           0.0054831,             0.70979,             0.59024,             0.59119,             0.23881,            0.049752,            0.028837,            0.018951,           0.0072775,           0.0072775,           0.0072775
                  57,            0.035986,            0.034913,            0.005199,             0.67504,             0.61217,             0.57898,             0.23316,            0.050693,            0.029739,            0.019375,            0.007228,            0.007228,            0.007228
                  58,            0.034696,            0.032504,           0.0051178,             0.68154,             0.59984,             0.59577,             0.23991,            0.051565,             0.02934,            0.020214,           0.0071785,           0.0071785,           0.0071785
                  59,            0.036654,            0.034305,           0.0050982,             0.69419,             0.64523,             0.62006,             0.25658,            0.050931,            0.028708,            0.021229,            0.007129,            0.007129,            0.007129
                  60,            0.035799,            0.033365,            0.005757,             0.67131,             0.62778,             0.60253,             0.24169,            0.050791,            0.028508,            0.022697,           0.0070795,           0.0070795,           0.0070795
                  61,            0.035597,              0.0333,           0.0053552,             0.72205,             0.59358,             0.60137,             0.24795,            0.051274,            0.029294,            0.021858,             0.00703,             0.00703,             0.00703
                  62,             0.03582,             0.03339,           0.0053261,              0.6528,              0.6211,             0.59445,             0.23666,            0.050781,            0.028489,            0.019985,           0.0069805,           0.0069805,           0.0069805
                  63,            0.035403,            0.033133,           0.0050589,             0.62743,             0.63616,             0.60879,             0.24199,            0.049668,            0.028276,            0.021935,            0.006931,            0.006931,            0.006931
                  64,             0.03578,            0.032774,           0.0052228,             0.68469,              0.6149,             0.60015,             0.24834,            0.050663,            0.029578,            0.020531,           0.0068815,           0.0068815,           0.0068815
                  65,            0.035316,            0.032898,           0.0048884,             0.65202,             0.59772,             0.59459,             0.24543,            0.050152,             0.02914,            0.020405,            0.006832,            0.006832,            0.006832
                  66,            0.034197,            0.033265,           0.0048749,             0.63605,              0.6817,             0.61631,             0.25588,             0.05038,            0.029327,            0.021099,           0.0067825,           0.0067825,           0.0067825
                  67,            0.034259,             0.03283,           0.0049304,             0.64431,             0.65268,             0.59177,             0.24684,            0.050259,            0.029907,             0.02261,            0.006733,            0.006733,            0.006733
                  68,             0.03539,            0.032792,            0.005478,             0.74592,               0.625,             0.63405,             0.27717,            0.048862,            0.029688,            0.019592,           0.0066835,           0.0066835,           0.0066835
                  69,            0.034748,            0.032277,           0.0047749,             0.70143,             0.62564,             0.61346,             0.25849,            0.049834,            0.029481,            0.022259,            0.006634,            0.006634,            0.006634
                  70,            0.035272,            0.033405,           0.0047852,             0.66732,             0.65146,             0.63107,             0.27357,            0.049557,            0.029713,            0.021862,           0.0065845,           0.0065845,           0.0065845
                  71,             0.03546,            0.032929,           0.0054805,             0.69356,             0.61387,              0.6111,             0.26054,            0.050267,            0.028933,             0.02116,            0.006535,            0.006535,            0.006535
                  72,            0.034149,             0.03147,           0.0049659,              0.6888,             0.57685,             0.61317,             0.26919,            0.050182,            0.030055,            0.023102,           0.0064855,           0.0064855,           0.0064855
                  73,            0.034165,            0.031411,           0.0049627,             0.66381,             0.62913,             0.60574,             0.25784,             0.04975,            0.029262,            0.022381,            0.006436,            0.006436,            0.006436
                  74,            0.034905,            0.032841,           0.0051585,             0.65548,             0.64261,             0.61956,             0.25155,            0.050741,            0.029159,            0.023136,           0.0063865,           0.0063865,           0.0063865
                  75,            0.034359,            0.031655,           0.0049464,              0.6892,              0.6552,             0.64286,             0.26155,            0.050322,            0.028012,            0.019924,            0.006337,            0.006337,            0.006337
                  76,            0.035554,            0.033371,           0.0051418,             0.70321,              0.6605,             0.62737,             0.26009,            0.050101,            0.027915,            0.019909,           0.0062875,           0.0062875,           0.0062875
                  77,            0.034286,            0.031793,            0.005037,             0.67739,             0.65054,             0.61415,             0.26897,            0.048995,            0.028721,            0.018967,            0.006238,            0.006238,            0.006238
                  78,            0.033064,            0.030304,           0.0050635,              0.6765,             0.64185,             0.59419,             0.25604,            0.049209,            0.029881,            0.020252,           0.0061885,           0.0061885,           0.0061885
                  79,            0.035634,            0.032009,           0.0050801,              0.6769,             0.62053,              0.5831,             0.24141,             0.05034,            0.030487,            0.020844,            0.006139,            0.006139,            0.006139
                  80,            0.033546,            0.030813,           0.0050477,             0.65033,             0.60281,             0.55726,             0.22394,            0.050785,            0.029952,            0.020786,           0.0060895,           0.0060895,           0.0060895
                  81,            0.033537,            0.033442,           0.0053173,              0.6633,             0.57287,             0.56104,             0.22831,            0.050097,             0.02961,            0.021118,             0.00604,             0.00604,             0.00604
                  82,            0.033837,            0.032574,           0.0048983,             0.69694,             0.63148,             0.59751,               0.244,            0.049996,            0.028979,            0.019276,           0.0059905,           0.0059905,           0.0059905
                  83,            0.032748,            0.031897,           0.0045832,             0.72676,             0.62143,             0.61208,             0.25455,            0.049823,            0.028753,            0.019268,            0.005941,            0.005941,            0.005941
                  84,            0.033216,            0.030078,           0.0042146,             0.71048,             0.63642,             0.64347,             0.27785,            0.049362,             0.02912,            0.019791,           0.0058915,           0.0058915,           0.0058915
                  85,            0.033692,            0.031274,           0.0048089,             0.66559,             0.59551,             0.58831,             0.25357,            0.049283,            0.029436,            0.022182,            0.005842,            0.005842,            0.005842
                  86,            0.033067,             0.03112,           0.0047241,             0.68972,             0.62977,             0.61749,             0.26557,            0.049092,            0.028624,            0.020641,           0.0057925,           0.0057925,           0.0057925
                  87,            0.032459,            0.030964,           0.0047779,             0.64861,             0.59786,             0.57916,             0.23953,            0.050719,            0.030977,            0.022335,            0.005743,            0.005743,            0.005743
                  88,            0.033412,            0.031981,           0.0050717,             0.62607,              0.6146,             0.56942,             0.24372,            0.050407,            0.029694,            0.021542,           0.0056935,           0.0056935,           0.0056935
                  89,            0.033371,            0.031396,           0.0048052,              0.6902,             0.63244,             0.63319,             0.26521,            0.049303,             0.02952,            0.020679,            0.005644,            0.005644,            0.005644
                  90,             0.03327,            0.031723,           0.0047124,             0.71351,             0.59521,             0.60174,             0.25174,            0.049393,            0.029404,            0.022408,           0.0055945,           0.0055945,           0.0055945
                  91,            0.032925,            0.030958,           0.0048253,             0.63833,             0.62139,             0.59982,             0.25436,            0.049703,            0.028746,            0.021744,            0.005545,            0.005545,            0.005545
                  92,            0.032893,            0.030009,           0.0046912,             0.65832,             0.58623,             0.57842,             0.24562,            0.049765,            0.029746,            0.021442,           0.0054955,           0.0054955,           0.0054955
                  93,            0.032843,            0.030028,           0.0046952,             0.66703,             0.61311,             0.59202,             0.24327,            0.050295,            0.031087,            0.021976,            0.005446,            0.005446,            0.005446
                  94,            0.032136,            0.031384,           0.0047191,             0.69549,             0.61001,             0.61313,             0.25689,            0.050102,            0.030835,            0.021324,           0.0053965,           0.0053965,           0.0053965
                  95,            0.032888,            0.031412,           0.0043987,             0.69994,             0.63484,             0.62629,             0.25296,             0.05087,            0.030171,            0.020905,            0.005347,            0.005347,            0.005347
                  96,            0.032347,            0.031425,           0.0046421,             0.60248,             0.58967,             0.56728,             0.22374,            0.052723,            0.031383,            0.021667,           0.0052975,           0.0052975,           0.0052975
                  97,            0.031495,            0.028797,           0.0042893,             0.66245,             0.61334,              0.6088,             0.25753,            0.050839,            0.033021,            0.022038,            0.005248,            0.005248,            0.005248
                  98,            0.032775,            0.030913,           0.0046637,             0.65299,             0.59879,             0.59695,              0.2491,             0.05078,            0.032202,            0.022038,           0.0051985,           0.0051985,           0.0051985
                  99,            0.031976,            0.030067,           0.0048895,              0.6788,             0.62318,             0.59551,             0.23338,            0.051228,            0.031602,             0.02005,            0.005149,            0.005149,            0.005149
                 100,            0.033274,            0.033465,           0.0046929,             0.69089,             0.60211,             0.57979,             0.24658,            0.050102,            0.029881,            0.019642,           0.0050995,           0.0050995,           0.0050995
                 101,            0.031437,            0.030588,           0.0043246,             0.74698,             0.61884,             0.61732,             0.25873,             0.04986,            0.030822,             0.01936,             0.00505,             0.00505,             0.00505
                 102,            0.032323,            0.030035,           0.0045557,              0.7651,             0.61524,             0.62834,             0.25741,            0.049665,            0.030945,            0.018894,           0.0050005,           0.0050005,           0.0050005
                 103,            0.031205,            0.030599,           0.0045662,             0.69699,             0.60636,             0.64317,             0.26415,            0.050199,            0.030893,            0.019569,            0.004951,            0.004951,            0.004951
                 104,            0.031687,            0.030643,            0.004856,             0.67673,             0.62173,             0.61026,              0.2514,            0.050435,            0.032782,            0.024788,           0.0049015,           0.0049015,           0.0049015
                 105,            0.031598,            0.029616,            0.004733,             0.68883,             0.64456,             0.62397,             0.25899,            0.050587,            0.031338,            0.021069,            0.004852,            0.004852,            0.004852
                 106,            0.031558,            0.030637,           0.0043248,             0.66922,             0.66717,             0.64259,             0.27193,             0.04988,            0.030184,            0.020325,           0.0048025,           0.0048025,           0.0048025
                 107,             0.03132,            0.032607,           0.0044297,             0.69442,             0.66826,             0.65663,             0.27464,            0.049946,            0.029346,            0.019657,            0.004753,            0.004753,            0.004753
                 108,            0.030848,             0.02976,           0.0042105,              0.7148,              0.6254,             0.64094,             0.27249,            0.049613,            0.029507,            0.020241,           0.0047035,           0.0047035,           0.0047035
                 109,            0.031379,            0.029411,           0.0043329,             0.69155,              0.6361,             0.65738,             0.27255,            0.049612,            0.029842,            0.019806,            0.004654,            0.004654,            0.004654
                 110,            0.031712,            0.029954,           0.0044524,             0.70622,             0.63794,             0.64927,             0.26706,            0.050044,             0.03041,            0.020523,           0.0046045,           0.0046045,           0.0046045
                 111,            0.030806,             0.02908,           0.0040475,             0.66258,             0.66207,             0.64354,             0.26337,            0.050485,             0.03012,            0.020424,            0.004555,            0.004555,            0.004555
                 112,            0.030832,            0.030834,           0.0044491,             0.63658,             0.66071,             0.61057,             0.26563,            0.049586,            0.030352,            0.020508,           0.0045055,           0.0045055,           0.0045055
                 113,            0.030662,            0.028796,           0.0044014,             0.66676,             0.65179,             0.61993,              0.2632,            0.049489,            0.030951,            0.020699,            0.004456,            0.004456,            0.004456
                 114,            0.030863,            0.031285,           0.0045842,             0.67983,              0.6449,             0.62344,             0.25974,            0.049635,              0.0305,            0.021801,           0.0044065,           0.0044065,           0.0044065
                 115,            0.030838,             0.02886,           0.0044707,             0.65532,             0.61602,             0.58396,             0.24423,             0.04953,            0.031486,             0.02404,            0.004357,            0.004357,            0.004357
                 116,            0.031027,            0.030926,           0.0044668,             0.65428,             0.65148,             0.62086,             0.25029,            0.050285,            0.031338,            0.021732,           0.0043075,           0.0043075,           0.0043075
                 117,            0.031126,            0.032672,           0.0046252,               0.695,             0.68536,             0.63376,             0.25382,            0.050009,            0.030925,            0.021675,            0.004258,            0.004258,            0.004258
                 118,            0.029219,            0.030468,           0.0039585,             0.69097,             0.62368,             0.60779,             0.23969,            0.050068,            0.031454,            0.022697,           0.0042085,           0.0042085,           0.0042085
                 119,            0.029769,            0.028484,           0.0037254,             0.62659,             0.63972,             0.59923,             0.24794,            0.050036,            0.031628,            0.022282,            0.004159,            0.004159,            0.004159
                 120,            0.031009,            0.029525,           0.0044379,             0.63767,             0.65369,             0.61433,             0.24806,            0.049743,            0.030874,            0.022861,           0.0041095,           0.0041095,           0.0041095
                 121,            0.030526,            0.030159,            0.004262,             0.67743,             0.64408,             0.61041,             0.24701,            0.050551,            0.031725,            0.023018,             0.00406,             0.00406,             0.00406
                 122,            0.030137,            0.029921,           0.0038566,             0.69397,             0.63379,             0.62959,             0.25719,             0.05016,            0.031847,            0.021511,           0.0040105,           0.0040105,           0.0040105
                 123,            0.030667,            0.030748,           0.0042009,             0.71067,             0.66008,               0.651,             0.26676,            0.050674,            0.031873,            0.020233,            0.003961,            0.003961,            0.003961
                 124,            0.029321,            0.031096,           0.0038359,             0.73236,             0.65774,             0.65149,             0.27335,            0.050134,            0.031138,            0.019764,           0.0039115,           0.0039115,           0.0039115
                 125,            0.030064,            0.028197,           0.0039131,             0.78574,             0.66821,             0.65943,             0.28433,            0.049192,            0.031415,            0.019295,            0.003862,            0.003862,            0.003862
                 126,            0.029658,            0.029421,            0.004223,             0.73352,             0.62019,             0.63827,             0.26506,            0.049455,            0.031654,            0.021236,           0.0038125,           0.0038125,           0.0038125
                 127,            0.029375,            0.030121,           0.0039353,             0.73185,             0.61989,             0.61198,             0.25757,            0.049647,            0.031912,            0.023556,            0.003763,            0.003763,            0.003763
                 128,            0.029568,            0.028815,           0.0041145,             0.74296,             0.66946,               0.648,             0.27031,            0.050084,            0.032073,            0.023293,           0.0037135,           0.0037135,           0.0037135
                 129,            0.029579,             0.02844,            0.004025,             0.73667,             0.66264,             0.64313,              0.2714,            0.050046,            0.032357,            0.021786,            0.003664,            0.003664,            0.003664
                 130,            0.029933,            0.028903,           0.0042169,             0.71543,             0.65712,             0.63725,             0.26987,            0.050085,            0.031899,            0.021782,           0.0036145,           0.0036145,           0.0036145
                 131,            0.029772,            0.028899,           0.0042092,             0.69889,             0.65813,             0.64338,             0.27098,            0.049987,            0.031216,            0.021084,            0.003565,            0.003565,            0.003565
                 132,            0.030197,            0.030604,            0.004126,             0.71707,             0.64317,             0.64592,             0.26228,             0.05021,            0.031274,            0.019634,           0.0035155,           0.0035155,           0.0035155
                 133,            0.029846,            0.030348,           0.0041181,             0.74237,             0.61643,             0.63557,             0.26425,             0.04963,            0.031725,            0.020695,            0.003466,            0.003466,            0.003466
                 134,            0.029792,            0.029383,           0.0039802,             0.72145,             0.62147,             0.62548,             0.26143,            0.049716,            0.031841,            0.020016,           0.0034165,           0.0034165,           0.0034165
