               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.049628,            0.046072,            0.012111,             0.54988,             0.66056,             0.58602,              0.2306,            0.052365,            0.026058,            0.018135,           0.0082675,           0.0082675,           0.0082675
                  37,             0.04981,            0.042911,            0.011354,             0.62978,             0.57814,             0.53211,             0.22062,            0.055575,            0.028785,            0.019035,            0.008218,            0.008218,            0.008218
                  38,            0.050576,            0.041611,            0.012074,             0.60187,             0.62223,             0.59834,             0.24402,             0.05088,             0.02689,            0.015823,           0.0081685,           0.0081685,           0.0081685
                  39,            0.048991,            0.041346,            0.012428,             0.56334,             0.63828,             0.58838,             0.23828,            0.052423,            0.027032,             0.01944,            0.008119,            0.008119,            0.008119
                  40,            0.048332,            0.043034,            0.011903,              0.5697,             0.59171,             0.56284,             0.22091,            0.052594,            0.027283,            0.019798,           0.0080695,           0.0080695,           0.0080695
                  41,            0.048011,            0.042934,            0.011548,             0.60536,             0.66975,             0.62134,             0.26567,            0.051207,            0.026161,            0.015804,             0.00802,             0.00802,             0.00802
                  42,              0.0485,            0.041424,            0.010827,             0.58419,             0.64157,             0.62442,             0.26628,            0.050531,            0.026168,            0.015751,           0.0079705,           0.0079705,           0.0079705
                  43,            0.047286,            0.043099,             0.01061,              0.6117,             0.63231,             0.59117,              0.2403,            0.051376,            0.025865,            0.019161,            0.007921,            0.007921,            0.007921
                  44,            0.048219,            0.042749,            0.011584,             0.68791,             0.61474,             0.61978,             0.26221,            0.050117,            0.025027,            0.016159,           0.0078715,           0.0078715,           0.0078715
                  45,            0.047009,            0.041985,             0.01133,             0.61922,             0.64325,             0.61646,             0.27048,             0.04902,            0.025007,            0.016598,            0.007822,            0.007822,            0.007822
                  46,            0.047065,            0.042191,            0.010768,             0.73166,             0.61169,             0.63933,             0.26979,            0.049657,            0.024682,            0.015965,           0.0077725,           0.0077725,           0.0077725
                  47,            0.047809,            0.042067,            0.010244,             0.59753,             0.60111,              0.5741,              0.2329,            0.051258,            0.025181,            0.017918,            0.007723,            0.007723,            0.007723
